3 金币	Gold COINS
125 追杀者部件4	After part 4
126 要你命3000部件1	3000 parts 1 to your life
127 要你命3000部件2	3000 parts 2 to your life
128 要你命3000部件3	3000 parts 3 to your life
129 要你命3000部件4	3000 part 4 to your life
130 能量炮部件1	Energy gun parts 1
131 能量炮部件2	2 energy gun parts
132 能量炮部件3	Energy gun parts 3
133 能量炮部件4	Energy gun parts 4
134 激光炮部件1	The laser gun part 1
135 激光炮部件2	The laser gun part 2
136 激光炮部件3	The laser gun parts 3
137 激光炮部件4	Laser cannons part 4
138 僵尸虐杀者部件1	1 the zombie torture-murderers parts
139 僵尸虐杀者部件2	The zombie torture-murderers part 2
140 僵尸虐杀者部件3	3 the zombie torture-murderers parts
141 僵尸虐杀者部件4	4 the zombie torture-murderers parts
142 超神虐杀者部件1	Super god torture-murderers part 1
143 超神虐杀者部件2	Super god torture-murderers part 2
144 超神虐杀者部件3	Super god torture-murderers part 3
145 超神虐杀者部件4	Super god torture-murderers part 4
146 钢之刃部件1	The blade of steel parts 1
147 钢之刃部件2	The blade of steel parts 2
148 钢之刃部件3	The blade of steel parts 3
149 钢之刃部件4	The blade of steel parts 4
150 冰之刃部件1	The blade of ice part 1
151 冰之刃部件2	The blade of ice part 2
152 冰之刃部件3	The blade of ice part 3
153 冰之刃部件4	The blade of ice part 4
154 火之刃部件1	The blade of fire unit 1
155 火之刃部件2	The blade of fire unit 2
156 火之刃部件3	The blade of fire unit 3
157 火之刃部件4	The blade of fire unit 4
158 影之刃部件1	The blade of the shadow part 1
159 影之刃部件2	The blade of the shadow part 2
160 影之刃部件3	The blade of the shadow part 3
161 影之刃部件4	The blade of the shadow part 4
162 魂之刃部件1	The soul of the blade part 1
163 魂之刃部件2	The soul of the blade part 2
164 魂之刃部件3	The soul of the blade part 3
165 魂之刃部件4	The soul of the blade part 4
166 USP弹夹	USP cartridge
167 左轮弹夹	Revolver cartridge
168 黄金沙鹰弹夹	Yellow sands eagle cartridge
169 双持MP5弹夹	Dual wield't a MP5 cartridge
170 毁灭者弹夹	The destroyer cartridge
171 M4A1弹夹	M4A1 cartridge
172 AK47弹夹	AK47 cartridge
173 M1散弹弹夹	M1 shotgun cartridge
174 火神弹夹	Vulcan cartridge
175 摇霸弹夹	Shake the cartridge on the
176 追杀者弹夹	After the cartridge
177 要你命3000弹夹	3000 cartridge to your life
178 能量炮弹夹	Energy shots clip
179 激光炮弹夹	Laser cannon clip
180 僵尸虐杀者弹夹	The zombie torture-murderers cartridge
181 超神虐杀者弹夹	Super god torture-murderers cartridge
