3原文:	再来一次
62原文:	摇霸部件1
62译文:	Shake the components on the 1
63原文:	摇霸部件2
63译文:	Shake the parts on the 2
64原文:	摇霸部件3
64译文:	Shake the components on the 3
65原文:	摇霸部件4
65译文:	Shake the components on the 4
66原文:	追杀者部件1
66译文:	After the part 1
67原文:	追杀者部件2
67译文:	After part 2
68原文:	追杀者部件3
68译文:	After the part 3
69原文:	追杀者部件4
69译文:	After part 4
70原文:	要你命3000部件1
70译文:	3000 parts 1 to your life
71原文:	要你命3000部件2
71译文:	3000 parts 2 to your life
72原文:	要你命3000部件3
72译文:	3000 parts 3 to your life
73原文:	要你命3000部件4
73译文:	3000 part 4 to your life
74原文:	能量炮部件1
74译文:	Energy gun parts 1
75原文:	能量炮部件2
75译文:	2 energy gun parts
76原文:	能量炮部件3
76译文:	Energy gun parts 3
77原文:	能量炮部件4
77译文:	Energy gun parts 4
78原文:	激光炮部件1
78译文:	The laser gun part 1
79原文:	激光炮部件2
79译文:	The laser gun part 2
80原文:	激光炮部件3
80译文:	The laser gun parts 3
81原文:	激光炮部件4
81译文:	Laser cannons part 4
82原文:	僵尸虐杀者部件1
82译文:	1 the zombie torture-murderers parts
83原文:	僵尸虐杀者部件2
83译文:	The zombie torture-murderers part 2
84原文:	僵尸虐杀者部件3
84译文:	3 the zombie torture-murderers parts
85原文:	僵尸虐杀者部件4
85译文:	4 the zombie torture-murderers parts
86原文:	超神虐杀者部件1
86译文:	Super god torture-murderers part 1
87原文:	超神虐杀者部件2
87译文:	Super god torture-murderers part 2
88原文:	超神虐杀者部件3
88译文:	Super god torture-murderers part 3
89原文:	超神虐杀者部件4
89译文:	Super god torture-murderers part 4
90原文:	钢之刃部件1
90译文:	The blade of steel parts 1
91原文:	钢之刃部件2
91译文:	The blade of steel parts 2
92原文:	钢之刃部件3
92译文:	The blade of steel parts 3
93原文:	钢之刃部件4
93译文:	The blade of steel parts 4
94原文:	冰之刃部件1
94译文:	The blade of ice part 1
95原文:	冰之刃部件2
95译文:	The blade of ice part 2
96原文:	冰之刃部件3
96译文:	The blade of ice part 3
97原文:	冰之刃部件4
97译文:	The blade of ice part 4
98原文:	火之刃部件1
98译文:	The blade of fire unit 1
99原文:	火之刃部件2
99译文:	The blade of fire unit 2
100原文:	火之刃部件3
100译文:	The blade of fire unit 3
101原文:	火之刃部件4
101译文:	The blade of fire unit 4
102原文:	影之刃部件1
102译文:	The blade of the shadow part 1
103原文:	影之刃部件2
103译文:	The blade of the shadow part 2
104原文:	影之刃部件3
104译文:	The blade of the shadow part 3
105原文:	影之刃部件4
105译文:	The blade of the shadow part 4
106原文:	魂之刃部件1
106译文:	The soul of the blade part 1
107原文:	魂之刃部件2
107译文:	The soul of the blade part 2
108原文:	魂之刃部件3
108译文:	The soul of the blade part 3
109原文:	魂之刃部件4
109译文:	The soul of the blade part 4
110原文:	碎片x5
110译文:	Debris x5
111原文:	碎片x10
111译文:	Debris x10
112原文:	碎片x15
112译文:	Debris x15
113原文:	碎片x20
113译文:	Debris x20
114原文:	碎片x25
114译文:	Debris x25
115原文:	碎片x30
115译文:	Debris x30
116原文:	碎片x50
116译文:	Debris x50
117原文:	碎片x100
117译文:	Debris x100
118原文:	普通x5
118译文:	Ordinary x5
119原文:	普通x10
119译文:	Ordinary x10
120原文:	普通x15
120译文:	Ordinary x15
121原文:	普通x20
121译文:	Ordinary x20
122原文:	普通x25
122译文:	Ordinary x25
123原文:	普通x30
123译文:	Ordinary x30
124原文:	普通x50
124译文:	Ordinary x50
125原文:	普通x100
125译文:	Ordinary x100
126原文:	优良x5
126译文:	Good x5
127原文:	优良x10
127译文:	Good x10
128原文:	优良x15
128译文:	Good x15
129原文:	优良x20
129译文:	Good x20
130原文:	优良x25
130译文:	Good x25
131原文:	优良x30
131译文:	Good x
132原文:	优良x50
132译文:	Good x50
133原文:	优良x100
133译文:	Good x100
134原文:	精品x5
134译文:	Boutique x5
135原文:	精品x10
135译文:	Boutique x10
136原文:	精品x15
136译文:	Boutique x15
137原文:	精品x20
137译文:	Boutique x20
138原文:	精品x25
138译文:	Boutique x25
139原文:	精品x30
139译文:	Boutique x30
140原文:	精品x50
140译文:	Boutique x50
141原文:	超凡x5
141译文:	Extraordinary x5
142原文:	超凡x10
142译文:	Extraordinary x10
143原文:	超凡x15
143译文:	Extraordinary x15
144原文:	超凡x20
144译文:	Extraordinary x20
145原文:	超凡x25
145译文:	Extraordinary x25
146原文:	超凡x30
146译文:	Extraordinary x30
