3原文:	Tomas，你已经被困在了被感染的51实验室，赶紧逃离这里！
99译文:	How suddenly of cigarette smoke.
100原文:	快看，又有一个奇葩的怪物。
100译文:	Look, there is a wonderful work of the monster.
101原文:	肉新鲜的肉！！！
101译文:	Fresh meat!!!!!!
102原文:	我们什么仇，什么怨啊？
102译文:	What our enemies, hatred?
103原文:	刚才真是惊险呢，不过我们还是顺利逃脱了。
103译文:	It was thrilling, but we still got away.
104原文:	我去前面看看。。。
104译文:	Let me check the front...
105原文:	这里僵尸也不少啊。
105译文:	Zombies are here.
106原文:	是啊，我们不能大意。
106译文:	Yes, we can't careless.
107原文:	前面那辆车好像可以用。
107译文:	If can use the car in front.
108原文:	嗯，我们过去看看。
108译文:	Well, we look at the past.
109原文:	可恶，僵尸太多了，车被包围了。
109译文:	Damn, there are too many zombies, car was surrounded.
110原文:	看，那边有条路口我们一口气冲过去吧。
110译文:	Look, there are roads, let's relief rushed over.
111原文:	嗯，那里看上去很安全。
111译文:	Well, look very safe there.
112原文:	终于摆脱他们了。
112译文:	Finally get rid of them.
113原文:	是啊，我们去周围看看。
113译文:	Yes, we went to look around.
114原文:	你是谁？让我们过去。
114译文:	Who are you? Let us in the past.
115原文:	你的血肉正在绽放。放弃抵抗吧。
115译文:	Your flesh is bursting. Give up resistance.
116原文:	就凭你？
116译文:	With you?
117原文:	前面有座工厂，我们过去看看。
117译文:	In front of factories, we used to have a look.
118原文:	嗯，前面还不知道有多少危险。
118译文:	Well, also don't know how many danger ahead.
119原文:	这工厂的僵尸比之前更厉害了。
119译文:	This factory zombie is worse than before.
120原文:	看我来虐杀他们。
120译文:	Look at me to kill them.
121原文:	我厉害吧，嘿嘿。
121译文:	Me, hey hey.
122原文:	别大意，看前面还有好多僵尸。
122译文:	Don't be careless, there are a lot of zombie before.
123原文:	这味道真难闻。
123译文:	It tastes so bad.
124原文:	是啊，我都想要吐了。
124译文:	Yes, I want to throw up.
125原文:	我们快点出去吧。
125译文:	Let's hurry up go out.
126原文:	嗯！
126译文:	Well!
127原文:	看到大门了。
127译文:	See the door.
128原文:	嗯，马上就能逃离这了。
128译文:	Well, can escape from this in a minute.
129原文:	前面好像有毒气。
129译文:	The front there seems to be a deadly poison.
130原文:	放开你旁边的妹子，就饶你不死。
130译文:	Let go of next to your sister, will let you die.
131原文:	听腻了，你不累吗？
131译文:	Don't get tired, you tired?
132原文:	小心啊！
132译文:	Be careful!
133原文:	相比那恶臭的工厂我更喜欢这森林。
133译文:	The stench of factory I prefer this forest.
134原文:	你看看前面，你还喜欢吗？
134译文:	You look at the front, you also like it?
135原文:	.。。。。。。。。。。。
135译文:	(null)
136原文:	到处都是这些恶心的生物。
136译文:	These disgusting creatures are everywhere.
137原文:	我已经见惯不怪了。
137译文:	I have been accustomed.
138原文:	先往北边走。我们一定要找到并摧毁这组织。
138译文:	Go north on first. We must find and destroy the group.
139原文:	那还用说。
139译文:	You bet.
140原文:	这里僵尸越来越多了。
140译文:	There are a lot more zombies.
141原文:	也越来越厉害了。
141译文:	Also more and more severe.
142原文:	再坚持一下，我们就要到了。
142译文:	Hold on a minute, we is coming.
143原文:	包在我身上。
143译文:	Package to me.
144原文:	怎么感觉我们进了僵尸窝了。
144译文:	How to feel we went into the zombie nest.
145原文:	是啊，我有一种不详的预感。
145译文:	Yes, I have a premonition of unknown.
146原文:	啊~~
146译文:	Ah ~ ~
147原文:	Lucy?你在哪？发生什么了？
147译文:	Lucy? Where are you? What happened?
148原文:	救我!我~~~我~~啊~~！
148译文:	Save me! I ~ ~ ~ I ~ ~ ~ ~!
149原文:	Lucy！！！不！！！！！！！！
149译文:	Lucy!!!!!! No!!!!!!!!!!!!!!!!!!!!
150原文:	嗷！嗷！
150译文:	Ouch! Ouch!
151原文:	嗷你妹，快滚。
151译文:	Ao you younger sister, get out.
152原文:	等着我，我马上就来救你。
152译文:	Wait for me, I'll be right there to save you.
153原文:	你们这些怪物，别挡我路。
153译文:	You monster, get out my way.
154原文:	这是Lucy的手帕，看来我没有走错路。
154译文:	This is Lucy's handkerchief, it seems that I didn't go wrong.
155原文:	是我不好，我没能保护好你。
155译文:	Is my bad, I can't protect you.
156原文:	来吧，你们这群废物。
156译文:	Come on, you this group of waste.
157原文:	看似很着急呢，呵呵！
157译文:	Seemingly very worry about it, hehe!
158原文:	居然呵呵我，快说Lucy在哪！
158译文:	Ha ha, I, quick say where is Lucy!
159原文:	你猜^.^？
159译文:	You guess ^. ^?
160原文:	！！！！！找死！
160译文:	!!!!!!!!!!!!!! Curry!
161原文:	看来这里就是他们的基地了。
161译文:	It seems that here is their base.
162原文:	这里的僵尸比之前的更厉害了，我一定要小心。
162译文:	The zombie is greater than before, I must be careful.
163原文:	Lucy，我一定会救你出来，你不会有事的。
163译文:	Lucy, I will surely save you out, you will be fine.
164原文:	你们阻止不了我的愤怒，你们这群白痴。
164译文:	You will not stop me from anger, you this group of an idiot.
165原文:	终于，最终的决战。Lucy我来了。
165译文:	Finally, the final decisive battle. Lucy I'm coming.
166原文:	Lucy！
166译文:	Lucy !
167原文:	哎哟，不错噢，居然能到这里。
167译文:	Oh, good oh, can I get to here.
168原文:	废话少说我这就要取你狗命。
168译文:	Cut the crap that I will take you there.
169原文:	我好怕噢。真的好怕，吓死我了。
169译文:	I'm afraid of oh. Really good afraid of, scared me to death.
170原文:	我的愤怒早已饥渴难耐！
170译文:	My anger had ravenous!
171原文:	你没事吧，没有受伤吧。
171译文:	Are you ok, not injured.
172原文:	没事，还好你来的及时。
172译文:	That's ok, I'm glad you in a timely manner.
173原文:	走吧，我会照顾你一辈子，不会再让你受伤。
173译文:	Let's go, I will take care of you for a lifetime, won't let you get hurt again.
174原文:	。。。我会跟着你。
174译文:	... I will follow you.
175原文:	前面有一把武器，争取过来，对你闯过实验室有帮助
175译文:	In front of a pair of arms,, help you through the lab
176原文:	顿时高大上了，快试试它的火力吧！
176译文:	Immediately on the tall, quick fire try it!
177原文:	终于到这里了，前面就可以闯过实验室了，这是对你的奖励！
177译文:	Finally here, in front of the can through laboratory, this is your reward!
178原文:	还不错，继续往前走吧！
178译文:	Well, continue to go forward!
179原文:	看到刚刚买到的武器了，试着换一下。
179译文:	See just to buy weapons, and try to change.
180原文:	确定之后就会获得这把新武器。
180译文:	Sure after you will get the new weapon.
181原文:	我们去那片森林里面玩一下吧。
181译文:	Let's go and play in the forest.
182原文:	好啊，看你能不能抓住我。
182译文:	Ok, see if you can catch me.
183原文:	跑慢点，我感觉有点不对劲。
183译文:	Run slowly, I feel something is wrong.
184原文:	Lucy！你在哪？快出来！
184译文:	Lucy! Where are you? Get out!
185原文:	快救我，这里又出现了好多僵尸啊！
185译文:	Save me quickly, there appeared a lot of zombie!
186原文:	没事吧，跟紧我！
186译文:	Ok, follow me tight!
187原文:	嗯！这里感觉好阴森啊！
187译文:	Well! This feeling is very dark!
188原文:	这里的僵尸越来越厉害了，我们一起冲出去！
188译文:	Here the zombie is becoming more and more severe, we rush out together!
189原文:	我好像看到了什么东西！
189译文:	I think I saw something!
190原文:	什么都不用怕，别担心了。
190译文:	What all need not be afraid, don't worry about it.
191原文:	这里有股好强的腐肉味。
191译文:	Here's to outdo others rotten meat.
192原文:	新鲜的肉，呜哇~~哈哈哈哈哈！好~~饿！
192译文:	Fresh meat, whoa ~ ~ ha ha ha ha ha! Good ~ ~ hungry!
193原文:	好恶心的臭胖子，你该洗澡了！
193译文:	Good disgusting odor fatty, you should take a shower!
194原文:	我的心肝脾肺肾都要吐出来了~
194译文:	My heart and spleen kidney all want to vomit ~
195原文:	.。。。。。快走吧，别说了。
195译文:	.... Go, don't say.
196原文:	这里感觉也不怎么安全啊。
196译文:	Feeling is not very safe here.
197原文:	嗯，我们过去看看。
197译文:	Well, we look at the past.
198原文:	小心！
198译文:	Be careful!
199原文:	没受伤吧？
199译文:	Didn't it hurt?
200原文:	嗯，我感觉有个怪物一直在跟着我们。
200译文:	Well, I feel there is a monster has been with us.
201原文:	别疑神疑鬼了，有我在呢！
201译文:	Don't paranoia, have me in!
202原文:	这感觉越来越强烈了。
202译文:	This feeling more and more strong.
203原文:	我也感觉到了，好强大的气息！
203译文:	I also feel, good strong smell!
204原文:	他就在我们前方，该怎么办？
204译文:	He is ahead of us, what should I do?
205原文:	那还用说，当然是把他打飞啊！
205译文:	You bet, of course, is to beat him fly!
206原文:	..........
206译文:	..........
207原文:	试问，绞肉机哪家强？
207译文:	Try to ask, which is strong meat grinder?
208原文:	你猜^.^？
208译文:	You guess ^. ^?
209原文:	呵呵！找死！
209译文:	Ha ha! Curry!
210原文:	我觉得这里还有很深的阴谋！
210译文:	I think there is deep conspiracy!
211原文:	嗯，这不是结束，而是刚刚开始！
211译文:	Well, this is not the end, but just beginning!
212原文:	点击僚机抽取，会有大大的惊喜噢！
212译文:	Click the wingman extraction, there will be a big surprise!
213原文:	点击僚机经验卡（小）,以获得僚机小伙伴!
213译文:	Click the wingman experience card (small), to obtain a wingman friend!
214原文:	恭喜您获得了僚机，请点击确定领取。
214译文:	Congratulations you won the wingman, please click ok to receive.
215原文:	点击退出，返回僚机装备界面。
215译文:	Click the exit and return to the interface of wingman equipment.
216原文:	点击僚机，进入僚机界面。
216译文:	Click the wingman, wingman into the interface.
217原文:	点击装备，带上僚机一起战斗！
217译文:	Click on the equipment, take wingman with fight!
218原文:	点击僚机抽取，可再次进行僚机抽取噢！
218译文:	Click the wingman extract, can undertake the wingman extraction again oh!
